,accession,pheno,value
0,1_Col-0,DTF1,28
1,2_An-1,DTF1,42
2,3_C24,DTF1,32.667
3,4_Cvi(1),DTF1,61
4,4_Cvi(2),DTF1,61
5,5_Eri(1),DTF1,85
6,5_Eri(2),DTF1,85
7,5__Gro-3(1),DTF1,137
8,5__Gro-3(2),DTF1,137
9,5__Ler-0(1),DTF1,29
10,5__Ler-0(2),DTF1,29
11,5__Sku-30(1),DTF1,102.33
12,5__Sku-30(2),DTF1,102.33
13,6_Kyo,DTF1,40
14,6__Tsu-0,DTF1,28
15,7_Ler,DTF1,28.5
16,8_Sha(1),DTF1,27
17,8_Sha(2),DTF1,27
18,8__Altai-5(1),DTF1,73
19,8__Altai-5(2),DTF1,73
20,8__Kas-1(1),DTF1,69
21,8__Kas-1(2),DTF1,69
22,1_Col-0,DTF3,38
23,2_An-1,DTF3,54.25
24,3_C24,DTF3,42.5
25,4_Cvi(1),DTF3,56
26,4_Cvi(2),DTF3,56
27,5_Eri(1),DTF3,42.75
28,5_Eri(2),DTF3,42.75
29,5__Gro-3(1),DTF3,78
30,5__Gro-3(2),DTF3,78
31,5__Ler-0(1),DTF3,40
32,5__Ler-0(2),DTF3,40
33,5__Sku-30(1),DTF3,115.33
34,5__Sku-30(2),DTF3,115.33
35,6_Kyo,DTF3,49.75
36,6__Tsu-0,DTF3,28
37,7_Ler,DTF3,40
38,8_Sha(1),DTF3,58.5
39,8_Sha(2),DTF3,58.5
40,8__Altai-5(1),DTF3,73
41,8__Altai-5(2),DTF3,73
42,8__Kas-1(1),DTF3,80
43,8__Kas-1(2),DTF3,80
44,1_Col-0,Origin,United States
45,2_An-1,Origin,Belgium
46,3_C24,Origin,Portugal
47,4_Cvi(1),Origin,Cape Verde
48,4_Cvi(2),Origin,Cape Verde
49,5_Eri(1),Origin,Sweden
50,5_Eri(2),Origin,Sweden
51,5__Gro-3(1),Origin,Sweden
52,5__Gro-3(2),Origin,Sweden
53,5__Ler-0(1),Origin,Germany
54,5__Ler-0(2),Origin,Germany
55,5__Sku-30(1),Origin,Sweden
56,5__Sku-30(2),Origin,Sweden
57,6_Kyo,Origin,Japan
58,6__Tsu-0,Origin,Japan
59,7_Ler,Origin,Germany
60,8_Sha(1),Origin,Tajikistan
61,8_Sha(2),Origin,Tajikistan
62,8__Altai-5(1),Origin,China
63,8__Altai-5(2),Origin,China
64,8__Kas-1(1),Origin,India
65,8__Kas-1(2),Origin,India
66,1_Col-0,Group,Y
67,2_An-1,Group,Y
68,3_C24,Group,X
69,4_Cvi(1),Group,Y
70,4_Cvi(2),Group,Y
71,5_Eri(1),Group,X
72,5_Eri(2),Group,X
73,5__Gro-3(1),Group,X
74,5__Gro-3(2),Group,X
75,5__Ler-0(1),Group,Y
76,5__Ler-0(2),Group,Y
77,5__Sku-30(1),Group,Y
78,5__Sku-30(2),Group,Y
79,6_Kyo,Group,X
80,6__Tsu-0,Group,X
81,7_Ler,Group,X
82,8_Sha(1),Group,X
83,8_Sha(2),Group,X
84,8__Altai-5(1),Group,Y
85,8__Altai-5(2),Group,Y
86,8__Kas-1(1),Group,X
87,8__Kas-1(2),Group,X
